"method","n","p","n_main","n_int","beta_main","beta_int","censparam","lambda","mean_c_index","median_c_index","sd_c_index","mean_auc","median_auc","sd_auc","mean_runtime","median_runtime","sd_runtime"
"Cox",200,1000,2,50,0.1,0.5,0.25,0.01,0.581630850630851,0.6,0.168316870520731,0.101438787520142,0.10055786689054,0.00395586240592466,1.25355000000004,1.24800000000005,0.0256319599020151
"Ranger",200,1000,2,50,0.1,0.5,0.25,0.01,0.526462148962149,0.516666666666667,0.148001421785343,0.298323369337827,0.308139538083505,0.109030874739272,2.55365000000011,2.54400000000032,0.0842354313499248
"SVM",200,1000,2,50,0.1,0.5,0.25,0.01,0.519406070120356,0.511904761904762,0.127582263384787,0.101800845142591,0.1014921450192,0.00083973117602227,1.1133499999999,1.11099999999988,0.0488868457173654
"sNPDR",200,1000,2,50,0.1,0.5,0.25,0.01,0.591408221408221,0.6,0.227925609160341,0.120259273177436,0.120374211412114,0.009807446000379,8.99035000000003,8.95400000000018,0.349486280884326
"sNPDRL",200,1000,2,50,0.1,0.5,0.25,0.01,0.581413543721236,0.6,0.141781233524032,0.114870492078167,0.112575633039328,0.00607965470510053,13.4808499999999,13.5295000000001,1.61081441562294
