"method","n","p","n_main","n_int","beta_main","beta_int","censparam","lambda","mean_c_index","median_c_index","sd_c_index","mean_auc","median_auc","sd_auc","mean_runtime","median_runtime","sd_runtime"
"Cox",200,1000,50,2,0.7,0.1,0.25,0.01,0.721719348353478,0.749621212121212,0.144580209085478,0.228530916850302,0.226832662277936,0.0100816537629893,1.31350000000011,1.2765000000004,0.0697443745242914
"Ranger",200,1000,50,2,0.7,0.1,0.25,0.01,0.581838480054252,0.620487264673311,0.160675031401299,0.21726642477193,0.200040623009535,0.0771710735289516,5.11069999999991,5.06099999999969,0.235843662906908
"SVM",200,1000,50,2,0.7,0.1,0.25,0.01,0.475437578611691,0.475811688311688,0.116049180242847,0.124962442399886,0.127128690434794,0.0145934664737345,1.01240000000007,1.00750000000016,0.052113551234101
"sNPDR",200,1000,50,2,0.7,0.1,0.25,0.01,0.697148904113447,0.660606060606061,0.092594011655964,0.192764069519963,0.19055266564115,0.0286869712332137,9.76710000000003,9.44299999999976,0.746406420420287
"sNPDRL",200,1000,50,2,0.7,0.1,0.25,0.01,0.64180729027639,0.646745265270287,0.134840145491133,0.142870032497196,0.143245998181646,0.0207951919161368,7.86260000000002,8.02099999999973,1.88834908495936
