"K","Replicate","AUC"
5,1,0.297410933786241
20,1,0.288280739147671
100,1,0.302445438893401
199,1,0.316358763534941
200,1,0.294030013775964
5,2,0.352444882566753
20,2,0.44581316245213
100,2,0.420250029608821
199,2,0.405566805105312
200,2,0.402010020985741
5,3,0.272038940042098
20,3,0.323499863750677
100,3,0.365931135666003
199,3,0.375296291504766
200,3,0.328080194941695
5,4,0.31776704793498
20,4,0.311059925288327
100,4,0.300389861657075
199,4,0.330231424971752
200,4,0.28797202690581
5,5,0.359853050596134
20,5,0.337894392733755
100,5,0.304338097349939
199,5,0.297305535758617
200,5,0.326587011510119
5,6,0.250185744061389
20,6,0.307944105415089
100,6,0.347326387236938
199,6,0.374020696885056
200,6,0.37387729544014
5,7,0.209198807284037
20,7,0.390443845618805
100,7,0.378306979775396
199,7,0.349199093986134
200,7,0.374643387264438
5,8,0.350577233601051
20,8,0.309048275043072
100,8,0.333499085298131
199,8,0.296003902039737
200,8,0.355033178400589
5,9,0.340310906702971
20,9,0.41441443339638
100,9,0.453425170872352
199,9,0.417736229748299
200,9,0.440953915606346
5,10,0.265732233745109
20,10,0.275409345369527
100,10,0.270431996511155
199,10,0.263208727561057
200,10,0.254701568565139
5,11,0.344419062156032
20,11,0.330499179745716
100,11,0.361342746793536
199,11,0.352939337266797
200,11,0.357187157738789
5,12,0.287863598402889
20,12,0.36587010351529
100,12,0.416326701043879
199,12,0.393903723470118
200,12,0.442762747065025
5,13,0.409664952536441
20,13,0.342371663685448
100,13,0.300672102459904
199,13,0.330219303790604
200,13,0.33338025428437
5,14,0.218065776542477
20,14,0.265982635109287
100,14,0.282583211029307
199,14,0.2945245783433
200,14,0.288563828062769
5,15,0.266931905270292
20,15,0.3054278872104
100,15,0.345356604496839
199,15,0.347026983229826
200,15,0.347576268865979
5,16,0.345107140328238
20,16,0.374889063775064
100,16,0.37093606778911
199,16,0.378437916615975
200,16,0.376862427791277
5,17,0.318963779401401
20,17,0.384506096588396
100,17,0.325203561544555
199,17,0.311125802288609
200,17,0.325732080540159
5,18,0.451733485702021
20,18,0.516524737932805
100,18,0.433078178915814
199,18,0.435502909161576
200,18,0.452594738689409
5,19,0.277314524486239
20,19,0.391406780364766
100,19,0.416501502672996
199,19,0.410472448295804
200,19,0.393189847291019
5,20,0.356039260403674
20,20,0.445360260802489
100,20,0.443255299238821
199,20,0.439166130630775
200,20,0.429264387749749
