"method","sim_id","fold","c_index","auprc","mrr","ef_at_1pct","ef_at_5pct","ef_at_10pct","precision_at_1pct","precision_at_5pct","precision_at_10pct","recall_at_1pct","recall_at_5pct","recall_at_10pct","mcc_at_1pct","mcc_at_5pct","mcc_at_10pct","runtime","n","p","n_main","n_int","beta_main","beta_int","censparam","lambda"
"LASSO-Cox",1,5,NA,0.02,0.0454545454545455,0,1,1.5,0,0.02,0.03,0,0.05,0.15,-0.0143576830751316,0,0.0238095238095238,102.739,500,1000,0,10,0,0,NA,NA
"sNPDR-absolute",1,6,NA,0.0189154543901097,0.166666666666667,5,1,0.5,0.1,0.02,0.01,0.05,0.05,0.05,0.0574307323005264,0,-0.0238095238095238,340.513,500,1000,0,10,0,0,NA,NA
"sNPDR-signed",1,6,NA,0.020631958451988,0.0108695652173913,0,0,0.5,0,0,0.01,0,0,0.05,-0.0143576830751316,-0.0327736762672231,-0.0238095238095238,306.684,500,1000,0,10,0,0,NA,NA
"LASSO-sNPDR",1,6,NA,0.0245870542476265,0.0909090909090909,0,1,2,0,0.02,0.04,0,0.05,0.2,-0.0143576830751316,0,0.0476190476190476,24.2549999999997,500,1000,0,10,0,0,NA,NA
"Cox",1,6,NA,0.0303435455303743,0.0833333333333333,0,2,1.5,0,0.04,0.03,0,0.1,0.15,-0.0143576830751316,0.0327736762672231,0.0238095238095238,3.87599999999975,500,1000,0,10,0,0,NA,NA
"LASSO-Cox",1,6,NA,0.02,0.166666666666667,5,1,1.5,0.1,0.02,0.03,0.05,0.05,0.15,0.0574307323005264,0,0.0238095238095238,37.268,500,1000,0,10,0,0,NA,NA
"sNPDR-absolute",1,7,NA,0.0261021193394811,0.25,5,1,1,0.1,0.02,0.02,0.05,0.05,0.1,0.0574307323005264,0,0,222.918,500,1000,0,10,0,0,NA,NA
"sNPDR-signed",1,7,NA,0.0211177221403559,0.00892857142857143,0,0,0,0,0,0,0,0,0,-0.0143576830751316,-0.0327736762672231,-0.0476190476190476,246.723,500,1000,0,10,0,0,NA,NA
"LASSO-sNPDR",1,7,NA,0.0258909043731391,0.1,5,11,10,0.1,0.22,0.2,0.05,0.55,1,0.0574307323005264,0.327736762672231,0.428571428571429,31.3049999999998,500,1000,0,10,0,0,NA,NA
"Cox",1,7,NA,0.0242419928433892,0.032258064516129,0,1,1,0,0.02,0.02,0,0.05,0.1,-0.0143576830751316,0,0,3.61400000000003,500,1000,0,10,0,0,NA,NA
"SVM",1,7,NA,0.0258304464155178,0.0555555555555556,0,1,2,0,0.02,0.04,0,0.05,0.2,-0.0143576830751316,0,0.0476190476190476,68.3559999999998,500,1000,0,10,0,0,NA,NA
"sNPDR-absolute",1,8,NA,0.0252071749803211,0.333333333333333,5,1,0.5,0.1,0.02,0.01,0.05,0.05,0.05,0.0574307323005264,0,-0.0238095238095238,379.926,500,1000,0,10,0,0,NA,NA
"sNPDR-signed",1,8,NA,0.0198710008333025,0.00970873786407767,0,0,0,0,0,0,0,0,0,-0.0143576830751316,-0.0327736762672231,-0.0476190476190476,189.947999999999,500,1000,0,10,0,0,NA,NA
"LASSO-sNPDR",1,8,NA,0.0242109917373336,0.0625,0,2,9.5,0,0.04,0.19,0,0.1,0.95,-0.0143576830751316,0.0327736762672231,0.404761904761905,124.826999999999,500,1000,0,10,0,0,NA,NA
"Cox",1,8,NA,0.0272163299592497,0.0714285714285714,0,2,2,0,0.04,0.04,0,0.1,0.2,-0.0143576830751316,0.0327736762672231,0.0476190476190476,3.60800000000017,500,1000,0,10,0,0,NA,NA
"sNPDR-absolute",1,9,NA,0.0229744274494208,0.25,5,1,0.5,0.1,0.02,0.01,0.05,0.05,0.05,0.0574307323005264,0,-0.0238095238095238,195.386,500,1000,0,10,0,0,NA,NA
"sNPDR-signed",1,9,NA,0.0209445031224358,0.0212765957446809,0,1,1.5,0,0.02,0.03,0,0.05,0.15,-0.0143576830751316,0,0.0238095238095238,119.653,500,1000,0,10,0,0,NA,NA
"LASSO-sNPDR",1,9,NA,0.037074849674018,0.5,5,1,8.5,0.1,0.02,0.17,0.05,0.05,0.85,0.0574307323005264,0,0.357142857142857,29.299,500,1000,0,10,0,0,NA,NA
"Cox",1,9,NA,0.0274164060411077,0.0555555555555556,0,2,1.5,0,0.04,0.03,0,0.1,0.15,-0.0143576830751316,0.0327736762672231,0.0238095238095238,7.13299999999981,500,1000,0,10,0,0,NA,NA
"SVM",1,9,NA,0.0315749934646942,0.0833333333333333,0,3,2.5,0,0.06,0.05,0,0.15,0.25,-0.0143576830751316,0.0655473525344462,0.0714285714285714,53.0050000000001,500,1000,0,10,0,0,NA,NA
"LASSO-Cox",1,9,NA,0.02,0.03125,0,3,1.5,0,0.06,0.03,0,0.15,0.15,-0.0143576830751316,0.0655473525344462,0.0238095238095238,17.0619999999999,500,1000,0,10,0,0,NA,NA
"sNPDR-absolute",1,10,NA,0.0224397515206327,0.142857142857143,5,1,0.5,0.1,0.02,0.01,0.05,0.05,0.05,0.0574307323005264,0,-0.0238095238095238,77.5370000000003,500,1000,0,10,0,0,NA,NA
"sNPDR-signed",1,10,NA,0.0196670097497923,0.0147058823529412,0,0,1,0,0,0.02,0,0,0.1,-0.0143576830751316,-0.0327736762672231,0,91.9670000000006,500,1000,0,10,0,0,NA,NA
"LASSO-sNPDR",1,10,NA,0.0259127454454972,0.0714285714285714,0,2,10,0,0.04,0.2,0,0.1,1,-0.0143576830751316,0.0327736762672231,0.428571428571429,34.2910000000002,500,1000,0,10,0,0,NA,NA
"Cox",1,10,NA,0.0235031924579297,0.0555555555555556,0,1,1,0,0.02,0.02,0,0.05,0.1,-0.0143576830751316,0,0,4.59699999999975,500,1000,0,10,0,0,NA,NA
"SVM",1,10,NA,0.021491677335248,0.1,5,1,1,0.1,0.02,0.02,0.05,0.05,0.1,0.0574307323005264,0,0,71.6000000000004,500,1000,0,10,0,0,NA,NA
"LASSO-Cox",1,10,NA,0.02,0.0454545454545455,0,1,2.5,0,0.02,0.05,0,0.05,0.25,-0.0143576830751316,0,0.0714285714285714,59.9540000000006,500,1000,0,10,0,0,NA,NA
"sNPDR-absolute",2,1,NA,0.0155302277990634,0.00775193798449612,0,0,0,0,0,0,0,0,0,-0.0143576830751316,-0.0327736762672231,-0.0476190476190476,88.246,500,1000,0,10,0,0,NA,NA
