GSM795031	serous ovarian cancer 54d
GSM795032	serous ovarian cancer 541d
GSM795033	serous ovarian cancer 542d
GSM795034	serous ovarian cancer 543d
GSM795035	serous ovarian cancer 544d
GSM795036	serous ovarian cancer 546d
GSM795037	serous ovarian cancer 547d
GSM795038	serous ovarian cancer 548d
GSM795039	serous ovarian cancer 549d2
GSM795040	serous ovarian cancer 55d
GSM795041	serous ovarian cancer 551d2
GSM795042	serous ovarian cancer 552d2
GSM795043	serous ovarian cancer 553d2
GSM795044	serous ovarian cancer 554d2
GSM795045	serous ovarian cancer 555d2
GSM795046	serous ovarian cancer 556d2
GSM795047	serous ovarian cancer 557d2
GSM795048	serous ovarian cancer 558d2
GSM795049	serous ovarian cancer 559d2
GSM795050	serous ovarian cancer 56d
GSM795051	serous ovarian cancer 560d2
GSM795052	serous ovarian cancer 561d2
GSM795053	serous ovarian cancer 564d
GSM795054	serous ovarian cancer 565d2
GSM795055	serous ovarian cancer 566d2
GSM795056	serous ovarian cancer 567d2
GSM795057	serous ovarian cancer 569d
GSM795058	serous ovarian cancer 57d
GSM795059	serous ovarian cancer 570d
GSM795060	serous ovarian cancer 571d
GSM795061	serous ovarian cancer 573d
GSM795062	serous ovarian cancer 575d
GSM795063	serous ovarian cancer 576d
GSM795064	serous ovarian cancer 578d
GSM795065	serous ovarian cancer 579d
GSM795066	serous ovarian cancer 58d
GSM795067	serous ovarian cancer 581d
GSM795068	serous ovarian cancer 582d
GSM795069	serous ovarian cancer 584d
GSM795070	serous ovarian cancer 585d
GSM795071	serous ovarian cancer 586d
GSM795072	serous ovarian cancer 587d
GSM795073	serous ovarian cancer 589d
GSM795074	serous ovarian cancer 590d
GSM795075	serous ovarian cancer 591d
GSM795076	serous ovarian cancer 592d
GSM795077	serous ovarian cancer 595d
GSM795078	serous ovarian cancer 596d
GSM795079	serous ovarian cancer 599d
GSM795080	serous ovarian cancer 6d
GSM795081	serous ovarian cancer 60d
GSM795082	serous ovarian cancer 601d
GSM795083	serous ovarian cancer 606d
GSM795084	serous ovarian cancer 608d2
GSM795085	serous ovarian cancer 609dR
GSM795086	serous ovarian cancer 61d
GSM795087	serous ovarian cancer 610d2
GSM795088	serous ovarian cancer 611d
GSM795089	serous ovarian cancer 612d2
GSM795090	serous ovarian cancer 613d2
GSM795091	serous ovarian cancer 616d2
GSM795092	serous ovarian cancer 62d
GSM795093	serous ovarian cancer 621d2
GSM795094	serous ovarian cancer 623d2
GSM795095	serous ovarian cancer 628d2
GSM795096	serous ovarian cancer 630d2
GSM795097	serous ovarian cancer 633d2R
GSM795098	serous ovarian cancer 634d2
GSM795099	serous ovarian cancer 635d2
GSM795100	serous ovarian cancer 636d2R
GSM795101	serous ovarian cancer 637d
GSM795102	serous ovarian cancer 64d
GSM795103	serous ovarian cancer 641d2
GSM795104	serous ovarian cancer 642d
GSM795105	serous ovarian cancer 643d
GSM795106	serous ovarian cancer 644d
GSM795107	serous ovarian cancer 66d
GSM795108	serous ovarian cancer 68d
GSM795109	serous ovarian cancer 69d
GSM795110	serous ovarian cancer 7d
GSM795111	serous ovarian cancer 72d
GSM795112	serous ovarian cancer 77d
GSM795113	serous ovarian cancer 79d
GSM795114	serous ovarian cancer 80d
GSM795115	serous ovarian cancer 84d
GSM795116	serous ovarian cancer 86d
GSM795117	serous ovarian cancer 88d
GSM795118	serous ovarian cancer 89d
GSM795119	serous ovarian cancer 90d
GSM795120	serous ovarian cancer 92d
GSM795121	serous ovarian cancer 93d
GSM795122	serous ovarian cancer 94d
GSM795123	serous ovarian cancer 95d
GSM795124	serous ovarian cancer 97d
GSM797484	serous ovarian cancer 516 (affy)
GSM797485	serous ovarian cancer 518 (affy)
GSM797486	serous ovarian cancer 519 (affy)
GSM797487	serous ovarian cancer 520 (affy)
GSM797488	serous ovarian cancer 521 (affy)
GSM797489	serous ovarian cancer 522 (affy)
GSM797490	serous ovarian cancer 523 (affy)
GSM797491	serous ovarian cancer 525 (affy)
GSM797492	serous ovarian cancer 526 (affy)
GSM797493	serous ovarian cancer 527 (affy)
