"","beta","Std. Error","z value","Pr(>|z|)","Feature","p.adj"
"SOX11.2",0.241295104324367,0.00904931169581512,26.6644704520405,1.21623175798441e-156,"SOX11.2",1.21623175798441e-153
"ST6GAL2.1",0.206795732523883,0.00944859888176532,21.886391317021,3.50161462987969e-106,"ST6GAL2.1",3.50161462987969e-103
"BICC1",0.196762759509865,0.0117913388291072,16.687058387649,1.62796798544235e-62,"BICC1",1.62796798544235e-59
"BMP7",0.192494644031266,0.0102180448894233,18.8386962588624,3.63817221321885e-79,"BMP7",3.63817221321885e-76
"ZFP42.2",0.187063584031013,0.00900965099176598,20.7625782843279,9.43654950125342e-96,"ZFP42.2",9.43654950125342e-93
"FLJ39632",0.184596354201712,0.00976661972731929,18.9007414392676,1.12461014320242e-79,"FLJ39632",1.12461014320242e-76
"ADAMTS12.1",0.183788010951117,0.0130836060490054,14.0471984759193,8.0142177768818e-45,"ADAMTS12.1",8.0142177768818e-42
"MACC1.2",0.178806247254631,0.00830697578735062,21.5248306762741,9.11527339310861e-103,"MACC1.2",9.11527339310861e-100
"PLK2",0.17804438010976,0.0106126848684079,16.7765633595479,3.62199718727183e-63,"PLK2",3.62199718727183e-60
"COL11A1.1",0.173140934782415,0.0120266089746566,14.3964882492871,5.44402530095049e-47,"COL11A1.1",5.44402530095049e-44
"COL8A2",0.172447577692336,0.0105963286526867,16.2742760577375,1.50286325826638e-59,"COL8A2",1.50286325826638e-56
"TIMP3",0.171306139273609,0.0104357169234349,16.4153685396465,1.48476547155886e-60,"TIMP3",1.48476547155886e-57
"TIMP3.3",0.169614590061084,0.0102076246852705,16.6164602726662,5.29691758821392e-62,"TIMP3.3",5.29691758821392e-59
"LIX1.1",0.166421590878584,0.0083556294365653,19.9173015201347,2.88104484055936e-88,"LIX1.1",2.88104484055936e-85
"CDK6.3",0.164508075956096,0.00926946865007887,17.7473037739543,1.80829752150778e-70,"CDK6.3",1.80829752150778e-67
"MACROD2.3",0.16418494505357,0.00771411654569082,21.2837003539031,1.60742023927165e-100,"MACROD2.3",1.60742023927165e-97
"SOX11.1",0.15894954987927,0.00672018638789743,23.6525507931635,1.11109391110655e-123,"SOX11.1",1.11109391110655e-120
"COL5A1.1",0.15867351820098,0.0116814699779903,13.5833519668282,5.02720424330091e-42,"COL5A1.1",5.02720424330091e-39
"HOXA3.1",0.158564729865639,0.00789985673625504,20.0718487890969,1.30074844411062e-89,"HOXA3.1",1.30074844411062e-86
"CCNE1",0.157830977637448,0.00961164899517402,16.4208012294971,1.35762110302647e-60,"CCNE1",1.35762110302647e-57
"NTM.1",0.157381256951436,0.00950638041381506,16.5553291684733,1.46537830827226e-61,"NTM.1",1.46537830827226e-58
"MACROD2.2",0.154114024842498,0.00780908161272687,19.7352304003752,1.07455919706765e-86,"MACROD2.2",1.07455919706765e-83
"FIGN.2",0.153030016102122,0.00975359267993598,15.6896049613511,1.78160842742547e-55,"FIGN.2",1.78160842742547e-52
"FAP",0.152983255052931,0.0112520082557072,13.5960845012121,4.22451903524199e-42,"FAP",4.22451903524199e-39
"PPAPDC1A",0.152188742657004,0.01042336738028,14.6007271071468,2.7786596929449e-48,"PPAPDC1A",2.7786596929449e-45
"FN1.6",0.150110447115311,0.0148814473062905,10.0870865599113,6.30119720432517e-24,"FN1.6",6.30119720432517e-21
"SOX11",0.150024075082583,0.00639476023029106,23.4604691465899,1.03362606137814e-121,"SOX11",1.03362606137814e-118
"INHBA.2",0.146204649766064,0.00899141676581285,16.260468575093,1.88292435307128e-59,"INHBA.2",1.88292435307128e-56
"XKR4",0.146080119085945,0.00785420120388459,18.5989784694713,3.27488865776868e-77,"XKR4",3.27488865776868e-74
"LIX1",0.145625648667076,0.00720201751727388,20.2201186428381,6.51263395663782e-91,"LIX1",6.51263395663782e-88
"FGF9",0.144872677555725,0.0073202875131613,19.7905720636322,3.58944528334813e-87,"FGF9",3.58944528334813e-84
"CTSK",0.144555939919728,0.011950463397773,12.0962623044949,1.10530133726299e-33,"CTSK",1.10530133726299e-30
"UCHL1.1",0.142330215608435,0.00773675546122272,18.3966284473907,1.39796952007983e-75,"UCHL1.1",1.39796952007983e-72
"COL9A3",0.141971178747413,0.0104876578152073,13.5369766299537,9.46030805884283e-42,"COL9A3",9.46030805884284e-39
"PDZRN3.1",0.141040939824312,0.0105130556050787,13.4157893882134,4.88701531163008e-41,"PDZRN3.1",4.88701531163008e-38
"PMEPA1.2",0.139855900045108,0.0107897003763561,12.9619818129129,2.00986885105563e-38,"PMEPA1.2",2.00986885105563e-35
"CCL28",0.139700394218208,0.00883152409756098,15.8183788749202,2.32399794389113e-56,"CCL28",2.32399794389113e-53
"FN1.3",0.139683822704331,0.0144829589980688,9.6447019371495,5.17613455931364e-22,"FN1.3",5.17613455931364e-19
"COL8A1.2",0.138456712474597,0.00942939079935124,14.6835267962511,8.2201369889864e-49,"COL8A1.2",8.22013698898639e-46
"DUXAP10.1",0.137676071955153,0.00750026152049376,18.3561695254181,2.94673849112554e-75,"DUXAP10.1",2.94673849112554e-72
"EYA4.2",0.13754638892112,0.00655856124370014,20.972036977354,1.18097970946618e-97,"EYA4.2",1.18097970946618e-94
"FLJ39632.1",0.136884380079965,0.00850055031547996,16.1030021586592,2.43021349202713e-58,"FLJ39632.1",2.43021349202713e-55
