"","Feature","Beta","P.Value"
"1","CHGB",-0.313806199947387,0.0200249008799829
"2","ADCYAP1R1.1",-0.308310814365752,0.00108000039756036
"3","PPAP2C",-0.280349380502015,0.000231020416522298
"4","TIMP3.2",0.260057725728685,7.37378852056308e-06
"5","MFAP2",0.255972676873424,0.000163501936786371
"6","TIMP3",0.254053661005298,2.6632284056724e-05
"7","FIGN.2",0.247078787386887,0.000477187079808541
"8","COL3A1",0.241591804159823,0.0026113004956029
"9","COL11A1.1",0.241586249999227,7.83433153541773e-05
"10","TIMP3.3",0.241039434311351,3.40105418543373e-05
"11","PPP1R1B",-0.237484707059313,0.000514016163000818
"12","SOX11.2",0.236242784482199,6.00804447660442e-06
"13","ADAMTS12.1",0.233976978457159,0.000366019397853675
"14","ZFP42.2",0.231777082474713,8.93651740238912e-05
"15","FN1",0.231493076735899,0.000874455870366418
"16","BICC1",0.230829831313079,0.0011243704323912
"17","ST6GAL2.1",0.226240250768322,0.000266038680653056
"18","C2orf88",-0.222623162476458,0.00117761861587226
"19","TMC5",-0.221945292526629,0.00178373216198217
"20","ITGBL1.2",0.21688169751876,0.000383776548853355
"21","MEGF10.1",0.216712084860261,6.31502451938723e-05
"22","COL3A1.1",0.215575437385089,0.00452541637845622
"23","PPAPDC1A",0.214455464506131,0.00046264676732907
"24","ASRGL1.1",-0.214319928556778,0.00315242470087324
"25","LIX1.1",0.213679931553342,0.000295700467490698
"26","COL8A2",0.213390838923387,0.00102089118009111
"27","COL1A1.1",0.213112493470962,0.00823262066362273
"28","PLK2",0.212866138878929,0.00400181711731807
"29","HOXA3.1",0.212307382941522,9.68905693597594e-05
"30","MUC5B",-0.211998276944743,0.013208495126901
"31","CRISPLD2.1",0.20693872112278,0.000386723926936626
"32","LPL",0.206753550022547,0.00221984246951027
"33","SPARC.1",0.205740170540593,0.00602580672552228
"34","CTSK",0.205739302196639,0.00060041762951949
"35","VGLL3.1",0.205625143408163,0.0015098309306652
"36","KIAA1324.1",-0.205502705352027,0.00452150119050081
"37","MMP11",0.205450200524323,0.00110101124667695
"38","CDH12",-0.205080872944019,0.0211360536936805
"39","GLT8D2.1",0.20427589466356,0.00159008533178408
"40","UCHL1.1",0.2030919720091,0.000271579932384533
"41","COL12A1.3",0.202856123087727,0.00524176674387324
"42","SLC7A11.1",-0.201186236790256,0.00480340337006412
"43","HOXA5",0.199094798435796,0.000102867520287393
"44","FIGN.3",0.197395283668377,0.00244716464235516
"45","PLAU",0.19712476148612,0.00543338077431493
"46","BCHE",0.196963634709627,0.000622465220768351
"47","MMP11.2",0.195177591395725,0.000499306585227081
"48","FLJ39632.1",0.195022159340622,0.00326682940940369
"49","EDN3",-0.193740117688005,0.037156935231194
"50","SLC7A11.2",-0.193649309881448,0.00319754651299305
"51","CRYAB",0.192221633725655,0.00609927025460973
"52","AEBP1",0.191906682979177,0.00664089081131312
"53","SOX6.5",0.191337922882693,0.00692603497891108
"54","C9orf24",-0.191013123478445,0.00575713860757389
"55","ADAM12",0.190232477691818,0.00426424561461359
"56","KLHDC8A.1",-0.188649598847202,0.0135858202861914
"57","TNFAIP6.1",0.188264396194283,0.00445277981238395
"58","TNFAIP6",0.188189919208833,0.00796503900973426
"59","COL5A1.1",0.186840423876042,0.00165575360510461
"60","FAP",0.186829569947721,0.000327553061464484
"61","EDNRA.1",0.186696314294423,0.00358020462325355
"62","STXBP6.2",-0.185819837468494,0.0083556334238091
"63","CRISP3",-0.185809953819816,0.0106884024287347
"64","ADAMTS5.2",0.185492652018056,0.00701365526480441
"65","KRT7.2",0.185297014635444,0.0236190471336942
"66","LIX1",0.184929543244707,0.000241857072392025
"67","IGF1.1",0.184917972263422,0.00257894571660748
"68","FAM150B",-0.18470769736802,0.0134406785648103
"69","SOX11.1",0.183432908264912,9.73274016846821e-06
"70","NDP",-0.183316067955233,0.00162755124182567
"71","FN1.6",0.182877724636475,0.0180579327478558
"72","ADAM12.2",0.182710916773248,0.00363234276347973
"73","RSPH1",-0.182691348860632,0.016868031113329
"74","COL5A2",0.182548922735203,0.00229402930002103
"75","STXBP6",-0.181266028331631,0.00469934415751085
"76","COL5A1",0.181236421501533,0.00359758718944161
"77","IGF1",0.180124062932857,0.00299199951807447
"78","FLJ39632",0.179073523095396,0.0134762566352576
"79","PLAU.1",0.178697426661818,0.00786311942848845
"80","FBN1",0.178083006501144,0.0104417061272963
"81","TMEM47.1",0.177497707040041,0.0188340433865496
"82","RBMS3.3",0.177338923066727,0.0193878096021083
"83","DCN",0.177291105456246,0.021030102023901
"84","EHF",-0.177222315581187,0.00683810939482772
"85","COL12A1",0.177027872267944,0.00801899893730531
"86","SLC7A2.1",-0.176676434055332,0.00676011152041541
"87","GBP3",-0.176303744542281,0.00836241854943054
"88","FBN1.1",0.176061595489544,0.00950646030488629
"89","NTM.1",0.175150831188337,0.000460430984824508
"90","COL5A2.1",0.175012298521276,0.001899649728415
"91","DCN.2",0.174987923326076,0.0140552304847623
"92","CDK6.3",0.174820353403476,0.015817062902337
"93","FLJ39632.2",0.174714971658921,0.0079548505315834
"94","CAPS.3",-0.174272043875019,0.00776682076549229
"95","C1orf88",-0.174170706814098,0.0299308629604346
"96","LUM",0.174068305055147,0.00318857537453914
"97","FN1.3",0.172376182142023,0.0242441362704007
"98","COL5A1.2",0.17221959261313,0.00196755698890761
"99","TMEM158",0.171831844275881,0.0037757012931015
"100","CADPS.1",-0.171666883315991,0.013297596356895
"101","TAGLN.1",0.171646779394,0.0234364191037048
"102","CXCR7.1",0.171375008616781,0.017975355364725
"103","CXCL12.1",0.170854935693822,0.00342904419143829
"104","FST",0.170753397294263,0.00943647010441801
"105","EHF.3",-0.17031130589802,0.00856281639251287
"106","EDNRA",0.170116553175088,0.00915100778834213
"107","AKAP12.2",0.16984917724431,0.0120968659483091
"108","SPOCK2.1",0.169633551478009,0.0108094695198805
"109","MACC1.2",0.169448573786829,0.0082726789854411
"110","KCNT2.1",0.169236934851938,0.00984924496531872
"111","ADAMTS2.2",0.16821069183058,0.00484407254807776
"112","ZNF521",0.167884674593133,0.00755402485015706
"113","LIN28B",0.167874385067484,0.0111920628858457
"114","OSR2",0.167797108485096,0.0216964739541593
"115","PDZRN3.1",0.167673710242214,0.0119541826935975
"116","ADAM28.1",-0.167649401435125,0.0287768688637923
"117","SNTN",-0.167584423851368,0.0457388182193874
"118","DUSP4",-0.167475033241335,0.0256500949693432
"119","LRRC15.1",0.167093911872563,0.0046760220036931
"120","ZNF521.1",0.166679197941834,0.00515573303561234
"121","DPYSL3",0.166433879722808,0.0230528190376304
"122","FABP6.2",-0.166097323925917,0.0192802355259596
"123","SFN.2",-0.165969722360909,0.018620380416472
"124","RNF182",0.165840830170744,0.00894782121869693
"125","SFRP1.1",0.165533823593066,0.00807197739423574
"126","SNAI2",0.164996764907638,0.0105146895565839
"127","C9orf135.1",-0.164585439201211,0.0157669243140121
"128","RUNX1T1.5",0.163734265031303,0.0095713811078014
"129","SRPX",0.162881011843586,0.0203994019775909
"130","FAM81B",-0.162828146805808,0.0165515536749313
"131","GAD1",-0.162158748483509,0.0558815309244285
"132","COMP",0.162076417368809,0.00085928523165969
"133","SOX11",0.16126502375328,3.87190272157216e-05
"134","SERPINA1.2",-0.160977675490632,0.00443651914978791
"135","PHLDB2.3",0.160860566574952,0.0141195399473757
"136","ADAM12.4",0.160077576601323,0.00161904753392376
"137","PLAGL1.2",0.160040626924296,0.030901480223159
"138","PMEPA1.2",0.159549458610101,0.0181531267497428
"139","ZBBX",-0.159484130058512,0.049819278264138
"140","CYR61.1",0.159110589139503,0.020653560072249
"141","COL1A1.2",0.158965941680843,0.00402779748962165
"142","SERPINF1",0.158792313428798,0.0200650117578721
"143","AGR2",-0.158739614883904,0.00688867960095328
"144","DHRS2.1",-0.158355917036343,0.0165818191958942
"145","FBXO32",0.158308851029478,0.0326716702616598
"146","SULF1",0.158064847124899,0.00672203908659532
"147","TMC5.4",-0.157941296915983,0.00662855772803292
"148","COL10A1",0.157891296849407,0.00732933700421484
"149","GPC6.1",0.157799839213373,0.0252407318874647
"150","LOX",0.157519914872047,0.0102227153106437
"151","SERPINA1",-0.156915859188195,0.00256396295396238
"152","VCAN",0.15644074292087,0.00377225543437145
"153","ADAMTS5.1",0.156237352803344,0.0188712984118402
"154","ALDH1A2.1",0.156002210136992,0.00294753560146395
"155","STAR",-0.155638317135881,0.031813453814
"156","DCN.3",0.155551975965458,0.0174420460928638
"157","GXYLT2",0.155290877829209,0.0450824031824532
"158","KANK4",0.155286088978911,0.0233305940038245
"159","AKAP12.1",0.155138020870646,0.032806258454484
"160","FMO2",0.155067728006559,0.00794034459038397
"161","CYP1B1.2",0.15501026708828,0.0105642469190962
"162","COLEC11",-0.154442150833053,0.0103193207091278
"163","STXBP6.3",-0.154134044911036,0.00571033102792506
"164","ADAM28",-0.153991648643561,0.0321684365589275
"165","PGM5.2",-0.153709662815991,0.0297939788464427
"166","DUXAP10.1",0.153689778856336,0.00739477848163069
"167","PTGIS",0.1535908203678,0.0146268069599187
"168","SPATA18",-0.153487987211134,0.0398817133512068
"169","SULF1.2",0.153090159514866,0.00402824976239826
"170","LOC100507397",-0.152604391819922,0.0285404412930956
"171","PGR.1",-0.151037687462112,0.0101579421839138
"172","FN1.5",0.150657107143486,0.027051531072208
"173","TMCC3.1",0.150600135667283,0.0238490055835963
"174","CYP3A5.1",-0.150468803192698,0.035515300144376
"175","CCDC80.1",0.150203609846825,0.00612367677315396
"176","COL3A1.3",0.149521843094886,0.00301855414184271
"177","COL11A1",0.149488759584336,7.46776650006937e-05
"178","INHBA.1",0.148934301588512,0.00412341927821548
"179","PLAGL1",0.148559218327524,0.0400009635007351
"180","`IGF2 /// INS-IGF2.2`",0.147795527127393,0.00386044670186992
"181","COL12A1.2",0.147550979315333,0.0199876324261297
"182","TMEFF1",0.147435428988656,0.0239158296872269
"183","CTHRC1",0.147356486415073,0.0193893340900162
"184","LOX.2",0.147030800390437,0.00300628054163379
"185","GREM1",0.146922821126467,0.00235038748119258
"186","CYP1B1.1",0.146882984218552,0.0327698003212327
"187","CCNE1",0.146432425172515,0.0380574214610496
"188","CHRDL1",0.146276150112326,0.0178610674426331
"189","DCN.1",0.145465393983522,0.0107483178159416
"190","MACROD2.3",0.144704983582506,0.0134996528959136
"191","CTGF",0.144536085949165,0.0456608730594709
