"","beta","Std. Error","z value","Pr(>|z|)","Feature","p.adj"
"CSTF1.1",0.416337547901428,0.0263918604581174,15.7752254170234,4.60750229251122e-56,"CSTF1.1",9.21500458502244e-52
"PDS5B.2",0.416208950173807,0.0238507523430498,17.450558547898,3.40883024101618e-68,"PDS5B.2",6.81766048203236e-64
"APC.1",0.415747102770484,0.0254620217624457,16.3281261264051,6.22676779756968e-60,"APC.1",1.24535355951394e-55
"KDM5B.2",0.41530518377946,0.0202057167754921,20.5538456464554,7.11013095573811e-94,"KDM5B.2",1.42202619114762e-89
"C13orf27",0.415068732379265,0.0211728433932597,19.60382574366,1.4342464181769e-85,"C13orf27",2.8684928363538e-81
"ZNF260.1",0.415048520126576,0.0199849828584318,20.768019821016,8.42610318780382e-96,"ZNF260.1",1.68522063756076e-91
"RALYL",0.415017634975195,0.0231470461766867,17.9296153732649,6.92571238988628e-72,"RALYL",1.38514247797726e-67
"DYNC2LI1.3",0.414893382106937,0.0259025815110562,16.0174530067532,9.65237710312442e-58,"DYNC2LI1.3",1.93047542062488e-53
"PCGF2.2",0.41437651012123,0.0286352343184355,14.4708615097468,1.85138650510736e-47,"PCGF2.2",3.70277301021472e-43
"LRCH1.1",0.414183749002385,0.0219352381258382,18.8821177425243,1.60038635359225e-79,"LRCH1.1",3.2007727071845e-75
"PFDN4",0.414088953502126,0.0249674594039743,16.5851457612147,8.92488978398778e-62,"PFDN4",1.78497795679756e-57
"RBM39.2",0.414054111838089,0.0230545847743614,17.959729740982,4.02763975957571e-72,"RBM39.2",8.05527951915142e-68
"AKAP11",0.413989995897009,0.0242305544829436,17.0854528396544,1.90458875016259e-65,"AKAP11",3.80917750032517e-61
"TTC3.1",0.413871588146249,0.0280003999390984,14.7809170242721,1.94499861494262e-49,"TTC3.1",3.88999722988525e-45
"DCTN6",0.413747437184142,0.0236118137250532,17.5228994266178,9.58154320238243e-69,"DCTN6",1.91630864047649e-64
"RASAL2.4",0.413745502014304,0.0217072365592177,19.0602567436716,5.40091475116157e-81,"RASAL2.4",1.08018295023231e-76
"EPB41L1",0.413638578684122,0.0190555864343109,21.7069456303553,1.76397643611996e-104,"EPB41L1",3.52795287223992e-100
"WDR41",0.413632120011353,0.0219557713779906,18.8393344460672,3.5945719293818e-79,"WDR41",7.1891438587636e-75
"TEAD1.2",0.41310641293495,0.0214429012292562,19.265416023617,1.04819647754447e-82,"TEAD1.2",2.09639295508893e-78
"MBD4",0.412792995174329,0.0262752885332834,15.7103125490491,1.28543839978943e-55,"MBD4",2.57087679957886e-51
