"","Model","C_Index","Logrank_Chi2","Hazard_Ratio","Num_Weights"
"risk_scores","survNPDR",0.752373995617239,17.2107535570105,1.29248022984155,30
"risk_scores1","survNPDR.glm",0.752373995617239,17.2107535570105,1.29248022984155,30
"risk_scores2","Cox Regression",0.68772826880935,10.857454588348,1.08270839269652,30
"risk_scores3","Survival SVM",0.68772826880935,10.857454588348,1.08270839269652,30
