"","Model","C_Index","Logrank_Chi2","Hazard_Ratio","Num_Weights"
"risk_scores","survNPDR",0.697594501718213,22.7842050829627,1.2160081782713,30
"risk_scores1","survNPDR.glm",0.697594501718213,22.7842050829627,1.2160081782713,30
"risk_scores2","Cox Regression",0.638880706921944,14.9425602531987,1.11194690563545,30
"risk_scores3","Survival SVM",0.427785959744723,2.53687754225275,0.992236748949526,30
